Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
605,Don't Stop 'Til You Get Enough,Michael Jackson,r&b,1979,2024‑02‑02,119,82,-10,18,95,365,13,9,78
606,Without Me,Eminem,detroit hip hop,2002,2024‑02‑02,112,67,-3,24,66,290,0,7,92
607,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,electro,2013,2024‑02‑02,116,81,-9,10,86,248,4,4,83
608,Glad You Came,The Wanted,boy band,2011,2024‑02‑02,127,85,-4,11,45,198,3,6,81
609,"Boom, Boom, Boom, Boom!!",Vengaboys,bubblegum dance,1999,2024‑02‑02,138,95,-5,3,97,203,1,4,77
610,One More Time,Daft Punk,electro,2001,2024‑02‑02,123,70,-9,33,48,320,2,13,80
611,Summer Of '69,Bryan Adams,canadian pop,1984,2024‑02‑02,139,83,-6,7,77,216,2,4,85
612,Candy Shop,50 Cent,east coast hip hop,2005,2024‑02‑02,125,57,-8,38,76,209,3,47,83
613,SexyBack (feat. Timbaland),Justin Timberlake,dance pop,2006,2024‑02‑02,117,58,-6,5,96,243,6,8,82
614,Ms. Jackson,Outkast,atl hip hop,2000,2024‑02‑02,95,81,-6,8,61,271,14,27,84
615,Everytime We Touch,Cascada,eurodance,2010,2024‑02‑02,142,98,-5,38,49,197,0,5,77
616,Right Round,Flo Rida,dance pop,2009,2024‑02‑02,125,67,-7,23,71,205,1,6,80
617,No Diggity,Blackstreet,boy band,1996,2024‑02‑02,89,65,-5,28,67,305,30,29,81
618,Temperature,Sean Paul,dance pop,2005,2024‑02‑02,125,60,-5,7,82,219,11,7,83
619,Don't Stop The Music,Rihanna,barbadian pop,2008,2024‑02‑02,123,67,-6,5,54,267,3,6,83
620,Disturbia,Rihanna,barbadian pop,2008,2024‑02‑02,125,81,-5,17,72,239,9,6,82
621,Tainted Love,Soft Cell,new romantic,1981,2024‑02‑02,144,50,-8,26,62,154,46,4,84
622,Jump - 2015 Remaster,Van Halen,album rock,1984,2024‑02‑02,130,84,-6,7,80,242,17,3,81
623,Don't You Worry Child - Radio Edit,Swedish House Mafia,edm,2012,2024‑02‑02,129,84,-3,12,44,213,11,5,85
624,Shape of You,Ed Sheeran,pop,2017,2024‑02‑02,96,65,-3,9,93,234,58,8,89
625,...Baby One More Time,Britney Spears,dance pop,1999,2024‑02‑02,93,70,-6,44,91,211,20,3,83
626,Barbie Girl,Aqua,bubblegum dance,1997,2024‑02‑02,130,88,-11,37,96,198,2,4,80
627,Don't You Want Me,The Human League,new romantic,1981,2024‑02‑02,118,74,-8,21,96,237,18,4,80
628,Shut Up and Dance,WALK THE MOON,dance rock,2014,2024‑02‑02,128,87,-4,26,62,199,1,6,86
629,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,pop,2016,2024‑02‑02,102,76,-4,18,74,251,41,5,77
630,This Is What You Came For,Calvin Harris,dance pop,2016,2024‑02‑02,124,93,-3,15,47,222,20,3,86
631,On The Floor,Jennifer Lopez,dance pop,2011,2024‑02‑02,130,78,-5,7,57,285,11,5,82
632,Uptown Funk (feat. Bruno Mars),Mark Ronson,pop soul,2015,2024‑02‑02,115,61,-7,3,93,270,1,8,86
633,"Freed From Desire - prod. Molella, Phil Jay",Gala,eurodance,1997,2024‑02‑02,129,86,-4,10,64,213,59,5,81
634,Wannabe,Spice Girls,dance pop,1996,2024‑02‑02,110,86,-6,16,89,173,10,3,84
635,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2024‑02‑02,113,83,-6,19,70,236,1,8,81
636,4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,dance pop,2009,2024‑02‑02,113,93,-5,23,77,190,1,7,78
637,Replay,Iyaz,dance pop,2009,2024‑02‑02,91,75,-6,17,20,182,17,7,80
638,Under Control (feat. Hurts),Calvin Harris,dance pop,2014,2024‑02‑02,126,92,-3,12,51,184,13,8,78
639,Blame (feat. John Newman),Calvin Harris,dance pop,2014,2024‑02‑02,128,86,-4,34,35,213,3,8,81
640,Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2024‑02‑02,128,82,-4,32,42,227,21,4,86
641,Summer,Calvin Harris,dance pop,2014,2024‑02‑02,128,86,-4,14,74,223,2,3,84
642,The Way I Are,Timbaland,dance pop,2007,2024‑02‑02,115,81,-6,32,77,179,18,10,87
643,"Whenever, Wherever",Shakira,colombian pop,2001,2024‑02‑02,108,83,-5,20,87,196,24,4,80
644,Time of Our Lives,Pitbull,dance pop,2014,2024‑02‑02,124,80,-6,69,72,229,9,6,85
645,Pon de Replay,Rihanna,barbadian pop,2005,2024‑02‑02,99,64,-8,10,50,247,0,16,82
646,Hot In Herre,Nelly,dance pop,2002,2024‑02‑02,107,75,-5,6,91,228,21,12,79
647,Don't Go Breaking My Heart,Elton John,glam rock,1975,2024‑02‑02,131,84,-9,6,78,275,15,3,83
648,24K Magic,Bruno Mars,dance pop,2016,2024‑02‑02,107,80,-4,15,63,226,3,8,83
649,Boogie Wonderland,"Earth, Wind & Fire",disco,1979,2024‑02‑02,132,76,-11,5,96,288,8,3,79
650,Stronger,Kanye West,chicago rap,2007,2024‑02‑02,104,72,-8,41,49,312,1,15,85
651,Can't Get You out of My Head,Kylie Minogue,australian dance,2001,2024‑02‑02,126,56,-8,12,96,231,3,3,80
652,Titanium (feat. Sia),David Guetta,big room,2012,2024‑02‑02,126,79,-4,13,30,245,7,10,84
653,Alors on danse - Radio Edit,Stromae,belgian pop,2010,2024‑02‑02,120,59,-9,7,71,206,10,8,81
654,Gasolina,Daddy Yankee,latin hip hop,2004,2024‑02‑02,96,80,-7,8,74,193,32,6,85
655,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,2024‑02‑02,129,94,-3,30,53,252,19,16,86
656,International Love (feat. Chris Brown),Pitbull,dance pop,2011,2024‑02‑02,120,86,-3,34,65,227,1,5,81
657,Destination Calabria - Radio Edit,Alex Gaudino,disco house,2007,2024‑02‑02,128,95,-5,29,31,223,0,4,79
658,I Want You Back,The Jackson 5,motown,1969,2024‑02‑02,197,54,-14,37,89,176,31,6,81
659,Kiss,Prince,funk,1986,2024‑02‑02,111,27,-12,5,74,226,1,9,78
660,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,eurodance,1999,2024‑02‑02,128,97,-11,39,77,284,26,6,79
661,I Love Rock 'N Roll,Joan Jett & the Blackhearts,glam punk,1981,2024‑02‑02,94,72,-5,66,90,175,33,4,81
662,Locked out of Heaven,Bruno Mars,dance pop,2012,2024‑02‑02,144,70,-4,31,87,233,5,4,92
663,The Final Countdown,Europe,album rock,1986,2024‑02‑02,118,84,-7,6,19,310,6,6,80
664,Oops!...I Did It Again,Britney Spears,dance pop,2000,2024‑02‑02,95,83,-5,36,89,211,30,4,82
665,Family Affair,Mary J. Blige,dance pop,2001,2024‑02‑02,93,55,-4,9,97,266,13,4,83
666,All That She Wants,Ace of Base,eurodance,1993,2024‑02‑02,94,63,-10,10,86,211,1,5,79
667,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,2024‑02‑02,119,82,-9,9,87,291,21,5,85
668,Sugar (feat. Francesco Yates),Robin Schulz,deep euro house,2015,2024‑02‑02,123,82,-5,16,64,219,2,6,81
669,Stayin' Alive,Bee Gees,disco,1979,2024‑02‑02,104,83,-7,18,95,285,3,3,80
670,Take A Chance On Me,ABBA,europop,1977,2024‑02‑02,107,68,-8,24,92,244,16,3,79
671,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,dance rock,1983,2024‑02‑02,125,71,-7,12,88,217,23,3,86
672,Gold Digger,Kanye West,chicago rap,2005,2024‑02‑02,93,70,-6,6,62,208,2,35,85
673,Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,2024‑02‑02,100,82,-6,41,76,218,28,7,87
674,Ride Wit Me,Nelly,dance pop,2000,2024‑02‑02,102,70,-6,24,72,292,6,5,79
675,No Lie,Sean Paul,dance pop,2018,2024‑02‑02,102,88,-3,21,46,221,5,12,84
676,L'Amour Toujours,Gigi D'Agostino,eurodance,2001,2024‑02‑02,139,88,-4,36,74,242,8,3,78
677,9 to 5,Dolly Parton,classic country pop,1980,2024‑02‑02,105,78,-6,63,81,162,42,5,80
678,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,edm,2016,2024‑02‑02,122,72,-5,23,47,196,9,4,80
679,DJ Got Us Fallin' In Love (feat. Pitbull),USHER,atl hip hop,2010,2024‑02‑02,120,86,-3,8,65,221,3,11,84
680,More Than You Know,Axwell /\ Ingrosso,edm,2017,2024‑02‑02,123,74,-5,31,57,203,3,3,83
681,Rock Your Body,Justin Timberlake,dance pop,2002,2024‑02‑02,101,71,-6,5,82,267,20,14,83
682,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,2024‑02‑02,120,58,-7,11,66,193,1,4,85
683,Scream & Shout,will.i.am,dance pop,2013,2024‑02‑02,130,69,-7,13,50,283,2,7,82
684,TiK ToK,Kesha,dance pop,2010,2024‑02‑02,120,84,-3,29,71,200,10,14,86
685,Stayin' Alive,Bee Gees,disco,1977,2024‑02‑02,104,54,-20,9,64,93,11,4,81
686,Smack That,Akon,dance pop,2006,2024‑02‑02,119,74,-5,11,92,212,32,5,88
687,Danza Kuduro,Don Omar,latin hip hop,2010,2024‑02‑02,89,92,-5,5,88,199,8,28,83
688,Crazy In Love (feat. Jay-Z),Beyoncé,pop,2003,2024‑02‑02,99,77,-7,7,68,236,0,23,82
689,Return of the Mack,Mark Morrison,british soul,1996,2024‑02‑02,95,83,-5,16,61,213,1,11,79
690,You Can't Hurry Love - 2016 Remaster,Phil Collins,rock drums,1982,2024‑02‑02,98,94,-5,7,76,176,3,3,80
691,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,pop rap,2012,2024‑02‑02,146,92,-4,9,85,258,3,8,83
692,Got My Mind Set on You,George Harrison,album rock,1987,2024‑02‑02,149,85,-7,49,96,235,46,4,77
693,Latch,Disclosure,edm,2013,2024‑02‑02,122,73,-5,9,52,256,2,17,78
694,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,reggae fusion,2015,2024‑02‑02,118,69,-6,16,60,181,17,3,82
695,Waiting For Love,Avicii,dance pop,2015,2024‑02‑02,128,74,-4,20,61,231,31,5,84
696,Wild Ones (feat. Sia),Flo Rida,dance pop,2012,2024‑02‑02,127,86,-5,26,44,233,10,6,82
697,Good Feeling,Flo Rida,dance pop,2012,2024‑02‑02,128,89,-4,31,68,248,6,7,81
698,Sexy Bitch (feat. Akon),David Guetta,big room,2010,2024‑02‑02,130,63,-5,13,80,196,8,5,81
