Name,Tags,Price,Review
World of Warships,Steam Cloud,0.0,Mostly Positive
Thronefall,Single-player,2.99,Overwhelmingly Positive
Thronefall,Steam Achievements,2.99,Overwhelmingly Positive
Thronefall,Steam Cloud,2.99,Overwhelmingly Positive
Thronefall,Steam Leaderboards,2.99,Overwhelmingly Positive
Ori and the Will of the Wisps,Single-player,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,Steam Achievements,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,Steam Cloud,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,Remote Play on Phone,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,Remote Play on Tablet,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,Remote Play on TV,9.89,Overwhelmingly Positive
Ori and the Will of the Wisps,HDR available,9.89,Overwhelmingly Positive
FINAL FANTASY XIV Online,Single-player,15.99,Very Positive
FINAL FANTASY XIV Online,MMO,15.99,Very Positive
FINAL FANTASY XIV Online,Online PvP,15.99,Very Positive
FINAL FANTASY XIV Online,Online Co-op,15.99,Very Positive
FINAL FANTASY XIV Online,Cross-Platform Multiplayer,15.99,Very Positive
FINAL FANTASY XIV Online,Remote Play on Tablet,15.99,Very Positive
Halo Infinite,Online PvP,0.0,Mostly Positive
Halo Infinite,LAN PvP,0.0,Mostly Positive
Halo Infinite,Cross-Platform Multiplayer,0.0,Mostly Positive
Halo Infinite,Steam Achievements,0.0,Mostly Positive
Halo Infinite,In-App Purchases,0.0,Mostly Positive
Halo Infinite,Steam Cloud,0.0,Mostly Positive
Halo Infinite,Includes level editor,0.0,Mostly Positive
Halo Infinite,Remote Play on TV,0.0,Mostly Positive
Halo: The Master Chief Collection,Single-player,9.99,Very Positive
Halo: The Master Chief Collection,Online PvP,9.99,Very Positive
Halo: The Master Chief Collection,LAN PvP,9.99,Very Positive
Halo: The Master Chief Collection,Online Co-op,9.99,Very Positive
Halo: The Master Chief Collection,LAN Co-op,9.99,Very Positive
Halo: The Master Chief Collection,Cross-Platform Multiplayer,9.99,Very Positive
Halo: The Master Chief Collection,Steam Achievements,9.99,Very Positive
Halo: The Master Chief Collection,Steam Trading Cards,9.99,Very Positive
Halo: The Master Chief Collection,Steam Workshop,9.99,Very Positive
Halo: The Master Chief Collection,Remote Play on Phone,9.99,Very Positive
Halo: The Master Chief Collection,Remote Play on Tablet,9.99,Very Positive
Halo: The Master Chief Collection,Remote Play on TV,9.99,Very Positive
Team Fortress 2,Cross-Platform Multiplayer,0.0,Very Positive
Team Fortress 2,Steam Achievements,0.0,Very Positive
Team Fortress 2,Steam Trading Cards,0.0,Very Positive
Team Fortress 2,Captions available,0.0,Very Positive
Team Fortress 2,Steam Workshop,0.0,Very Positive
Team Fortress 2,In-App Purchases,0.0,Very Positive
Team Fortress 2,Valve Anti-Cheat enabled,0.0,Very Positive
Team Fortress 2,Stats,0.0,Very Positive
Team Fortress 2,Includes level editor,0.0,Very Positive
