Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
港詭實錄ParanormalHK,Very Positive,"['Adventure, Indie']",['Single-player'],Ghostpie Studio,Ghostpie Studio,6.49,2020-01-06,14088.0
Bendy and the Dark Revival,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements']",Joey Drew Studios,Joey Drew Studios,5.99,2022-11-15,9069.0
Bloons TD 6,Overwhelmingly Positive,['Strategy'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Ninja Kiwi,Ninja Kiwi,7.79,2018-12-18,259415.0
"Warhammer 40,000: Rogue Trader",Mostly Positive,"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Owlcat Games,Owlcat Games,24.99,2023-12-07,9224.0
Cities: Skylines,Very Positive,"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet']",Colossal Order Ltd.,Paradox Interactive,17.99,2015-03-10,186442.0
Conqueror's Blade,Mixed,"['Action, Massively Multiplayer, RPG, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']",Booming Tech,Poros Interactive,0.0,2020-04-06,29450.0
Lies of P,Very Positive,"['Action, Adventure, RPG']",['Single-player'],NEOWIZ,NEOWIZ,35.99,2023-09-18,22163.0
Garry's Mod,Overwhelmingly Positive,"['Casual, Indie, Simulation']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet']",Facepunch Studios,Valve,5.79,2006-11-29,894691.0
Moonbreaker,Very Positive,"['Action, Strategy']","['Single-player', 'Online PvP', 'Steam Cloud']",Unknown Worlds Entertainment,"KRAFTON, Inc.",11.24,2024-02-01,1125.0
Pathfinder: Wrath of the Righteous - Enhanced Edition,Very Positive,"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Owlcat Games,META Publishing,5.99,2021-09-02,24569.0
