Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Baldur's Gate II: Enhanced Edition,Very Positive,(74),"['Adventure, RPG']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']","['Adventure, RPG']",Beamdog,Beamdog,"16 Nov, 2013",https://store.steampowered.com/app/257350/Baldurs_Gate_II_Enhanced_Edition/?snr=1_7_7_7000_150_13,$10.49
Let's School,Very Positive,(108),"['Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual, Indie, Simulation']",Pathea Games,Pathea Games,"27 Jul, 2023",https://store.steampowered.com/app/1937500/Lets_School/?snr=1_7_7_7000_150_13,$19.99
Saleblazers,Very Positive,(56),"['Action, Adventure, Indie, RPG, Simulation, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats']","['Action, Adventure, Indie, RPG, Simulation, Early Access']",Airstrafe Interactive,Airstrafe Interactive,"29 Sep, 2023",https://store.steampowered.com/app/1419850/Saleblazers/?snr=1_7_7_7000_150_13,$14.99
Gal Guardians: Demon Purge,Very Positive,(13),"['Action, Adventure']","['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']","['Action, Adventure']","INTI CREATES CO., LTD.","INTI CREATES CO., LTD.","23 Feb, 2023",https://store.steampowered.com/app/2081400/Gal_Guardians_Demon_Purge/?snr=1_7_7_7000_150_13,$8.74
NGU IDLE,Overwhelmingly Positive,(125),"['Adventure, Indie, Simulation, Free to Play']","['Single-player', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Remote Play on Tablet']","['Adventure, Indie, Simulation, Free to Play']",4G,4G,"1 Oct, 2019",https://store.steampowered.com/app/1147690/NGU_IDLE/?snr=1_7_7_7000_150_13,Free
Only Up: With Friends,Mixed,(87),"['Action, Adventure, Casual, Indie']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Action, Adventure, Casual, Indie']",NoGlyph Games,NoGlyph Games,"17 Aug, 2023",https://store.steampowered.com/app/2522520/Only_Up_With_Friends/?snr=1_7_7_7000_150_13,$4.99
EMERGENCY,Mostly Positive,(229),"['Action, Strategy, Free to Play']","['Single-player', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']","['Action, Strategy, Free to Play']",Sixteen Tons Entertainment,Sixteen Tons Entertainment,"15 Aug, 2023",https://store.steampowered.com/app/850170/EMERGENCY/?snr=1_7_7_7000_150_13,Free
Assassin's Creed 2,Very Positive,(401),"['Action, Adventure']",['Single-player'],"['Action, Adventure']",Ubisoft Montreal,Ubisoft,"5 Mar, 2010",https://store.steampowered.com/app/33230/Assassins_Creed_2/?snr=1_7_7_7000_150_13,$15.99
Planetary Annihilation: TITANS,Very Positive,(47),"['Action, Indie, Strategy']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']","['Action, Indie, Strategy']",Planetary Annihilation Inc,Planetary Annihilation Inc,"18 Aug, 2015",https://store.steampowered.com/app/386070/Planetary_Annihilation_TITANS/?snr=1_7_7_7000_150_13,$29.99
MechWarrior Online™ Legends,Very Positive,(89),"['Action, Massively Multiplayer, Simulation, Strategy, Free to Play']","['MMO', 'Steam Achievements', 'In-App Purchases']","['Action, Massively Multiplayer, Simulation, Strategy, Free to Play']",Piranha Games Inc.,Piranha Games Inc.,"10 Dec, 2015",https://store.steampowered.com/app/342200/MechWarrior_Online_Legends/?snr=1_7_7_7000_150_13,Free
Pathfinder: Kingmaker - Enhanced Plus Edition,Mostly Positive,(166),"['Adventure, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']","['Adventure, RPG']",Owlcat Games,Prime Matter,"25 Sep, 2018",https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Plus_Edition/?snr=1_7_7_7000_150_13,$14.99
King Of The Castle,Mostly Positive,(58),"['Casual, Indie, Strategy']","['Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']","['Casual, Indie, Strategy']",Tributary Games,Team17,"2 Mar, 2023",https://store.steampowered.com/app/1839880/King_Of_The_Castle/?snr=1_7_7_7000_150_13,$4.05
Rune Factory 5,Mostly Positive,(22),"['Adventure, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, RPG, Simulation']",Marvelous Inc.,XSEED Games,"13 Jul, 2022",https://store.steampowered.com/app/1702330/Rune_Factory_5/?snr=1_7_7_7000_150_13,$18.99
Pinball FX,Mixed,(58),"['Simulation, Free to Play']","['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']","['Simulation, Free to Play']",Zen Studios,Zen Studios,"13 Apr, 2023",https://store.steampowered.com/app/2328760/Pinball_FX/?snr=1_7_7_7000_150_13,Free
Rail Route,Very Positive,(29),"['Casual, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","['Casual, Indie, Simulation, Strategy, Early Access']",Bitrich.info,Bitrich.info,"23 Jun, 2021",https://store.steampowered.com/app/1124180/Rail_Route/?snr=1_7_7_7000_150_13,$12.49
Dawn of Man,Very Positive,(115),"['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop']","['Indie, Simulation, Strategy']",Madruga Works,Madruga Works,"1 Mar, 2019",https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_7000_150_13,$24.99
Age of History II,Very Positive,(798),['Strategy'],"['Single-player', 'Shared/Split Screen PvP', 'Steam Workshop', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']",['Strategy'],Łukasz Jakowski,Łukasz Jakowski Games,"22 Nov, 2018",https://store.steampowered.com/app/603850/Age_of_History_II/?snr=1_7_7_7000_150_13,$3.49
