,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
127,Love For Sale - 1959 Version,Anita O'Day,torch song,1959,2024‑02‑02,73,46,-12,19,67,165,71,9,47
128,Foolin' Myself,Lee Konitz,bebop,1961,2024‑02‑02,100,30,-16,24,49,417,54,5,47
129,Excerpts From The Blues,Ahmad Jamal,bebop,1960,2024‑02‑02,100,22,-16,13,54,184,89,5,47
130,Tangerine,Coleman Hawkins,bebop,1959,2024‑02‑02,76,20,-15,11,40,321,93,4,47
131,Willow Weep For Me,Dakota Staton,vocal jazz,2010,2024‑02‑02,97,25,-12,17,49,151,94,4,47
132,When Your Lover Has Gone,Chet Baker,cool jazz,1957,2024‑02‑02,115,8,-17,19,13,174,93,4,47
133,Show Me The Way To Go Home,Julie London,torch song,1968,2024‑02‑02,87,15,-14,11,17,164,92,3,48
134,I Just Dropped By To Say Hello,Johnny Hartman,vocal jazz,1963,2024‑02‑02,101,5,-23,11,33,245,95,4,47
135,I Could Write a Book,Betty Carter,vocal jazz,1980,2024‑02‑02,113,22,-13,28,39,158,65,3,48
136,"He's Younger Than You Are - From ""Alfie"" Score",Sonny Rollins,bebop,1966,2024‑02‑02,57,11,-17,17,22,313,95,4,48
137,I Got It Bad (And That Ain't Good),Nat King Cole,adult standards,1962,2024‑02‑02,75,14,-19,10,14,223,84,3,48
138,On The Street Where You Live,Dean Martin,adult standards,2013,2024‑02‑02,126,19,-12,7,50,221,91,4,48
139,What a Difference a Day Makes,Bobby Darin,adult standards,1964,2024‑02‑02,176,0,-33,7,10,217,97,4,48
140,Isn't This A Lovely Day,Fred Astaire,adult standards,1957,2024‑02‑02,75,3,-23,10,30,264,98,8,48
141,For All We Know,Paul Desmond,bebop,1959,2024‑02‑02,99,9,-19,9,30,332,87,4,48
142,Louise,Lionel Hampton,bebop,1955,2024‑02‑02,114,11,-17,12,31,408,95,6,48
143,I Should Care,Julie London,torch song,1955,2024‑02‑02,122,6,-16,20,7,197,94,4,49
144,Porgy (I Loves You Porgy) - Outtake,Bill Evans Trio,bebop,1961,2024‑02‑02,100,14,-23,66,15,360,92,3,49
145,Someone To Watch Over Me,Lee Konitz,bebop,1959,2024‑02‑02,72,3,-24,11,12,216,99,4,49
146,Yams,Jackie McLean,jazz saxophone,2000,2024‑02‑02,83,29,-12,11,23,480,83,4,49
147,What A Little Moonlight Can Do - Remastered,Nancy Wilson,vocal jazz,2004,2024‑02‑02,149,49,-5,28,70,148,81,20,49
148,Cry Me A River,Dexter Gordon,bebop,1956,2024‑02‑02,179,20,-12,11,34,223,83,4,49
149,Come Rain or Come Shine,Sarah Vaughan,jazz,1949,2024‑02‑02,120,9,-15,10,15,203,94,4,49
150,You'd Be So Nice to Come Home To,Art Pepper,bebop,1957,2024‑02‑02,89,42,-12,6,53,328,39,6,49
151,The Nearness Of You - 2020 Mix,Frank Sinatra,adult standards,1960,2024‑02‑02,119,14,-13,32,20,162,82,3,49
152,"Fin De L'Affaire - Rudy Van Gelder Edition, 2008 Digital Remaster",Hank Mobley,bebop,2008,2024‑02‑02,121,14,-14,10,33,400,92,4,49
153,It Had To Be You,Billie Holiday,adult standards,1955,2024‑02‑02,66,12,-12,12,33,243,69,5,50
154,I've Got You Under My Skin - 2011 Remaster,Paul Desmond,bebop,2002,2024‑02‑02,178,20,-13,14,69,279,96,5,50
155,Don't Explain,Nina Simone,jazz blues,1966,2024‑02‑02,91,14,-17,11,10,259,91,4,50
156,"Bewitched, Bothered and Bewildered",Doris Day,adult standards,2014,2024‑02‑02,80,8,-18,25,23,162,86,4,50
157,Something Cool - Mono,June Christy,cool jazz,1954,2024‑02‑02,72,14,-10,8,17,259,89,3,50
